输入文本,生成问题,参考问题,改写问题
"[['诛三计', '出品公司', '腾讯'], ['腾讯', '总部地点', '中国深圳']]",诛 三 计 的 出 品 公 司 的 总 部 在 哪 里 ？,诛三计的出品公司的总部在哪里？,请问诛三计的出品公司的总部在哪里？
"[['西蒙尼·米西罗利', '所属运动队', '雷吉纳足球俱乐部'], ['雷吉纳足球俱乐部', '主场', '格兰利奴球场']]",哪 里 是 西 蒙 尼 · 米 西 罗 利 的 所 属 运 动 队 的 主 场 ？,谁能告诉我西蒙尼·米西罗利的所属运动队的主场是哪里？,请问西蒙尼·米西罗利所属的雷吉纳足球俱乐部的主场是哪里？
"[['破头', '中文名', '坡头'], ['坡头', '土地总面积', '89平方公里']]",破 头 的 中 文 名 的 面 积 有 多 大 ？,破头的中文名的面积共有多少？,请问坡头的土地总面积是多少？
"[['青山镇', '邻靠', '水库村'], ['水库村', '养殖产业', '羊'], ['羊', '亚纲', '真兽亚纲']]",山 青 山 镇 的 邻 靠 的 养 殖 产 业 属 于 什 么 亚 纲 ？,山青山镇的邻靠的养殖产业是属于哪个亚纲的,请问青山镇邻近的水库村养殖的羊属于哪个亚纲？
"[['贝母属生物碱', '属性', '有机化合物'], ['有机化合物', '主要包括', '含碳化合物,碳氢化合物等']]",你 知 道 贝 母 属 生 物 碱 的 属 性 主 要 包 括 哪 些 吗 ？,你知道贝母属生物碱的属性主要包括哪些吗？,请问贝母属生物碱的主要属性包括哪些有机化合物？
"[['怦怦跳科学图画书第一辑', '出版社', '韩国'], ['韩国', '主要民族', '朝鲜族']]",怦 怦 跳 科 学 图 画 书 第 一 辑 的 出 版 社 有 哪 些 主 要 的 民 族 ？,请问怦怦跳科学图画书第一辑的出版社有哪些主要的民族？,请问怦怦跳科学图画书第一辑的出版社主要有哪些民族？
"[['太极饭', '主要原料', '乌米'], ['乌米', '主要为害部位', '作物顶部']]",太 极 饭 的 主 要 原 料 都 在 什 么 部 位 ？,太极饭的主要原料的主要为害部位是哪里？,太极饭的主要原料主要在作物的哪个部位？
"[['己亥杂诗·此去东山又北山', '作品出处', '己亥杂诗'], ['己亥杂诗', '作品风格', '著述,交游,爱国']]",己 亥 杂 诗 · 此 去 东 山 又 北 山 的 作 品 出 处 是 什 么 类 型 的 著 述 ？,己亥杂诗·此去东山又北山的作品出处是什么类型的作品呢？,请问《己亥杂诗·此去东山又北山》的作品出处属于哪一类著述？
"[['洗澡鸭', '问题', '塑化剂'], ['塑化剂', '危险性描述', '干扰人体内分泌']]",洗 澡 鸭 的 问 题 有 什 么 危 险 ？,请问洗澡鸭的问题有什么危险？,洗澡鸭的问题中，塑化剂有什么危险性？
"[['汉江集团是以汉江水利水电（集团）有限责任公司', '地区', '汉江'], ['汉江', '流域面积', '15.9万平方千米']]",汉 江 集 团 是 以 汉 江 水 利 水 电 （ 集 团 ） 有 限 责 任 公 司 的 地 区 有 多 大 ？,汉江集团是以汉江水利水电（集团）有限责任公司的地区有多大？,请问汉江集团的地区覆盖面积有多大？
"[['许博', '现效力球队', '石家庄永昌足球俱乐部'], ['石家庄永昌足球俱乐部', '总经理', '李霄鹏']]",请 问 许 博 的 现 效 力 球 队 的 总 经 理 是 谁 ？,谁是许博的现效力球队的总经理？,请问许博所在球队的总经理是谁？
"[['第一次世界大战：黄金版', '中文名', '第一次世界大战'], ['第一次世界大战', '伤亡情况', '协约国总士兵阵亡:,5,497,600同盟国总士兵阵亡:,3,382,500交战双方受伤总数：1000万左右平民死亡总数：6,493,000,同盟国总士兵阵亡:3,协约国总士兵阵亡:5,600,500']]",第 一 次 世 界 大 战 ： 黄 金 版 的 中 文 名 总 共 有 多 少 人 伤 亡 ？,请问第一次世界大战：黄金版的中文名总共有多少人伤亡？,请问第一次世界大战：黄金版的中文名字下，总共有多少士兵伤亡？
"[['广饶县卫生局', '下辖', '人民医院'], ['人民医院', '医院类型', '综合性医院']]",广 饶 县 卫 生 局 的 下 辖 是 什 么 类 型 的 ？,彭州市广饶县卫生局的下辖是什么类型的？,广饶县卫生局下属的医院是哪一种类型的医院？
"[['战争日志', '作者', '天权'], ['天权', '赤纬', '+57 01\' 57.3""']]",你 知 道 战 争 日 志 的 作 者 的 赤 纬 是 多 少 吗 ？,你知道战争日志的作者的赤纬是多少吗？,请问战争日志的作者的赤纬是多少度？
"[['守耕图卷', '作者', '唐寅'], ['唐寅', '号', '伯虎,子畏']]",老 子 守 耕 图 卷 的 作 者 的 号 是 什 么 ？,守耕图卷的作者号什么,请问唐寅，也就是《守耕图卷》的作者，他的号是什么？
"[['美丽梦乡', '谱曲', '阿筎那'], ['阿筎那', '出生日期', '10月12日'], ['10月12日', '后一天', '10月13日']]",谁 知 道 美 丽 梦 乡 的 谱 曲 的 出 生 日 期 的 后 一 天 是 哪 一 天 ？,谁知道美丽梦乡的谱曲的出生日期的后一天是什么时候？,请问，美丽梦乡的谱曲者阿筎那的出生日期是哪一天？那一天的后一天是哪一天呢？
"[['双氯苯唑青霉素', '中文别名', '双氯苯甲异恶唑青霉素'], ['双氯苯甲异恶唑青霉素', '别名', '双氯苯唑青霉素'], ['双氯苯唑青霉素', '中文别名', '双氯青霉素']]",请 问 双 氯 苯 唑 青 霉 素 的 中 文 别 名 的 别 名 又 叫 什 么 名 字 ？,双氯苯唑青霉素的中文别名的别名中文名字是什么？,请问双氯苯唑青霉素的中文别名的别名又是什么？
"[['微分方程', '发明人', '艾萨克·牛顿'], ['艾萨克·牛顿', '研究领域', '科学']]",微 分 方 程 的 发 明 人 的 研 究 领 域 是 什 么 ？,请说出微分方程的发明人的研究领域是什么？,微分方程的发明人艾萨克·牛顿的研究领域是什么？
"[['冰露饮用水', '出品公司', '可口可乐'], ['可口可乐', '副作用', '通常情况下无副作用']]",冰 露 饮 用 水 的 出 品 公 司 有 哪 些 副 作 用 ？,谁能告诉我冰露饮用水的出品公司有什么副作用吗？,冰露饮用水的出品公司有哪些副作用？
"[['鲁美嘉', '未婚夫', '小次郎'], ['小次郎', '搭档', '喵喵'], ['喵喵', '属性', '一般']]",鲁 美 嘉 的 未 婚 夫 的 搭 档 是 什 么 属 性 ？,鲁美嘉的未婚夫的搭档是什么属性？,鲁美嘉的未婚夫喵喵是什么属性？
