模型名字,平均 BLEU 分数,平均 METEOR 分数,平均 ROUGE-L 分数
Randeng_NLPCC_02_02_22_34,0.4895165595053999,0.642009719242187,0.10884065934065934
,输入文本,生成问题,参考问题,BLEU,METEOR,ROUGE-L
,"generate question: [['上海艺术家', '编辑单位', '上海市文化广播影视管理局'], ['上海市文化广播影视管理局', '公司名称', '上海市文化广播影视管理局']]",请问上海艺术家的编辑单位的公司名称是什么?,上海艺术家的编辑单位的名称叫什么？,0.44833867003844585,0.7636335784313727,0
,"generate question: [['马阿马·洛洛赫阿', '国籍', '汤加'], ['汤加', '官方语言', '英语']]",马阿马洛洛赫阿的国籍的官方语言是什么?,马阿马·洛洛赫阿的国籍的官方语言是什么？,0.5810588684968079,0.6938463010814431,0
,"generate question: [['EDTA铁钠', '别称', '乙二胺四乙酸铁钠'], ['乙二胺四乙酸铁钠', '分子量', '421.10']]",EDTA铁钠的别称的分子量是多少?,谁能告诉我EDTA铁钠的别称的分子量是多少？,0.5535566902494308,0.6343005952380953,1.0
,"generate question: [['丹参红花炖乌鸡', '辅料', '川贝母'], ['川贝母', '族', '百合族']]",丹参红花炖乌鸡的辅料属于什么族?,丹参红花炖乌鸡的辅料属于什么族？,0.8801117367933934,0.8993827160493828,0
,"generate question: [['无限挑战', '主持人', '刘在石'], ['刘在石', '宗教信仰', '佛教(参考Naver人物和维基百科)']]",无限挑战的主持人信仰什么宗教?,无限挑战的主持人信奉什么宗教？,0.4111336169005197,0.7361111111111112,0
,"generate question: [['假蒟叶', '亚目', '胡椒科'], ['胡椒科', '亚种', '共3100种']]",假蒟叶的亚目有多少亚种?,假蒟叶的亚目有多少亚种？,0.8633400213704505,0.8880208333333333,0
,"generate question: [['阿贝尔', '兄弟姐妹', '阿尔忒弥斯'], ['阿尔忒弥斯', '司掌', '净化']]",阿贝尔的兄弟姐妹的司掌是什么?,请问阿贝尔的兄弟姐妹主要掌管什么？,4.797597231912944e-78,0.25,0
,"generate question: [['华安润成变形缝装置厂', '主营', '伸缩缝'], ['伸缩缝', '适用于', '楼顶,建筑物上方。']]",华安润成变形缝装置厂的主营适用于哪里?,你知道华安润成变形缝装置厂的主营适用于哪里吗？,0.6799584717294223,0.7295620437956206,0
,"generate question: [['程蝶衣', '代表作品', '霸王别姬'], ['霸王别姬', '对白语言', '京剧'], ['京剧', '发源地', '徽州府']]",程蝶衣的代表作品的对白语言起源于哪里?,你知道程蝶衣的代表作品的对白语言的发源地是哪里吗？,0.3502613068493141,0.35525321239606955,0
,"generate question: [['高艳', '毕业院校', '安徽财经大学'], ['安徽财经大学', '发展目标', '高水平教学研究型大学']]",高艳的毕业院校的发展目标是什么?,请问高艳的毕业院校的发展目标是什么？,0.7963580315032781,0.8251217578434704,0
,"generate question: [['纵马五代', '小说作者', '昭武校尉'], ['昭武校尉', '废除时间', '元']]",纵马五代的小说作者是什么时候废除的?,纵马五代的小说作者是什么时候废除的？,0.8931539818068694,0.9086363636363638,0
,"generate question: [['我要玩陌陌', '谱曲', '李萌'], ['李萌', '喜欢的歌手', 'DRE']]",我要玩陌陌的谱曲喜欢哪个歌手?,我要玩陌陌的谱曲最喜欢哪个歌手？,0.5341735956899847,0.8017676767676769,0
,"generate question: [['何保冬', '民族', '广东'], ['广东', '著名景点', '白云山'], ['白云山', '气候类型', '亚热带季风气候']]",何保冬的民族的著名景点的气候类型是什么?,何保冬的民族的著名景点地区是什么型的气候？,0.41065171472719325,0.742296918767507,0
,"generate question: [['柔步双狮拳', '使用者', '日向雏田'], ['日向雏田', '妹妹', '日向花火'], ['日向花火', '归属', '火之国·木叶忍者村']]",柔步双狮拳的使用者的妹妹属于什么国家?,请问柔步双狮拳的使用者的妹妹属于哪个地方啊？,0.5658266414297971,0.6243896484375001,0
,"generate question: [['PSYCHO-PASS 心理测量者 2', '中文名', '心理测量者'], ['心理测量者', '代理发行', '富士创意公司（海外）群英社（中国台湾,中国香港）Funimation（加拿大,美国）']]",PSYCHO-PASS 心理测量者 2的中文名是由谁代理发行的?,谁是PSYCHO-PASS 心理测量者 2的中文名的代理发行商？,0.6192596340984008,0.860948667966212,1.0
,"generate question: [['波斯尼亚语', '地区', '波斯尼亚和黑塞哥维那'], ['波斯尼亚和黑塞哥维那', '政治体制', '直接民主共和制']]",波斯尼亚语的地区实行什么政治体制?,请问波斯尼亚语的地区的政治体制是什么样的？,0.2512421854739509,0.34766355140186916,0
,"generate question: [['硝烟再起', '作者', '橄榄石'], ['橄榄石', '比重', '3.34（+0.14,-0.07）']]",硝烟再起的作者的比重是多少?,你知道硝烟再起的作者的比重是多少吗？,0.6186101569833722,0.6830929487179487,0
,"generate question: [['吴废后', '别称', '吴皇后'], ['吴皇后', '坟墓', '永思陵']]",请问吴废后的别称的坟墓在哪里?,哪里是吴废后的别称的坟墓？,0.4671379777282001,0.7270233196159123,0
,"generate question: [['密花红光树', '属', '红光树属'], ['红光树属', '属拼音名', 'hongguangshushu']]",密花红光树的属的拼音名是什么?,密花红光树的属用拼音怎么说？,0.4111336169005197,0.5111111111111111,0
,"generate question: [['张春阳', '代表作品', '包头医学院学报'], ['包头医学院学报', '主办单位', '包头医学院'], ['包头医学院', '教职工', '2544名']]",张春阳的代表作品的主办单位有多少教职工?,你知道张春阳的代表作品的主办单位有多少教职工吗？,0.6520028108523781,0.7081753669680179,0
,"generate question: [['竹中重治', '主君', '丰臣秀吉'], ['丰臣秀吉', '坟墓', '丰国神社']]",竹中重治的主君的坟墓在哪里?,竹中重治的主君的坟墓在哪里？,0.8633400213704505,0.8880208333333333,0
,"generate question: [['石榴根', '别称', '天浆'], ['天浆', '词义', '浆汁']]",石榴根的别称的词义是什么?,石榴根的别称的词义是？,0.7259795291154771,0.8629377676996723,0
,"generate question: [['十六年', '所属专辑', '神雕侠侣'], ['神雕侠侣', '集数', '湖南卫视版54集/未删减版52集']]",十六年的所属专辑有多少集?,新版十六年的所属专辑一共有多少集,0.4412484512922977,0.7773446457234581,0
