输入文本,生成问题,参考问题,改写问题,F1
"[['论柏拉图对话', '丛书名', '西方传统·经典与解释']]",论 柏 拉 图 对 话 的 丛 书 叫 什 么 ？,谁知道论柏拉图对话这套丛书叫什么名？,请问《论柏拉图对话》的丛书名是什么？,0.6665410399436951
"[['Project Glass', '售价', '1500美元（开发者版）']]",你 知 道 Project Glass 的 售 价 是 多 少 吗 ？,请问Project Glass多少钱？,请问 Project Glass 的售价是多少？,0.5559749007225037
"[['东风汽车集团有限公司', '公司简称', '二汽，东风']]",东 风 汽 车 集 团 有 限 公 司 的 简 称 是 什 么 ？,大家知道东风汽车集团有限公司的简称是什么吗？,东风汽车集团有限公司的简称是什么？,0.7129092216491699
"[['一探究竟', '重播时间', '周六15:01']]",你 知 道 一 探 究 竟 的 重 播 时 间 吗 ？,一探究竟的重播时间是什么时候的,请问一探究竟的节目重播时间是什么时候？,0.662217915058136
"[['觉木隆藏戏', '管理', '则恰列空和贡德林']]",谁 知 道 觉 木 隆 藏 戏 由 谁 管 理 ？,觉木隆藏戏是谁管辖啊？,请问觉木隆藏戏的管理者是谁？,0.6729063391685486
"[['御临河', '流域面积', '约 3800 km²']]",请 问 御 临 河 的 流 域 面 积 有 多 大 ？,御临河流经多少面积？,请问御临河的流域面积大约是多少？,0.6401758790016174
"[['情非情（2009年江一燕主演都市情感剧）', '开机时间', '2008年10月']]",情 非 情 的 开 机 时 间 是 什 么 时 候 ？,情非情的开机时间是什么时候？,情非情这部电视剧是哪一年10月开机的？,0.6200317740440369
"[['泰坦星', '象征物', '土星'], ['土星', '质量', '95.16(地球为1),5.688×10²⁶kg']]",泰 坦 星 的 象 征 物 的 质 量 是 多 少 ？,泰坦星的象征物的质量是多重？,泰坦星的象征物的质量是多少？,0.6378276348114014
"[['安武军', '创建人', '倪嗣冲']]",安 武 军 是 谁 创 建 的 ？,安武军是谁创立的？,请问安武军是谁创建的？,0.6391688585281372
"[['齐天大圣', '其他名称', '孙悟空'], ['孙悟空', '兵器', '如意金箍棒']]",齐 天 大 圣 的 其 他 名 称 使 用 的 什 么 兵 器 ？,你知道齐天大圣的其他名称使用的什么兵器吗？,请问齐天大圣的另一个名字使用的兵器是什么？,0.6336427330970764
"[['第61届戛纳国际电影节', '节日起源', '1939年6月']]",第 61 届 戛 纳 国 际 电 影 节 起 源 于 哪 个 节 日 ？,第61届戛纳国际电影节的节日起源是什么啊？,请问第61届戛纳国际电影节的起源与哪个节日有关？,0.7380874752998352
"[['准金属', '用途', '合金添加剂，半导体材料等']]",准 金 属 有 哪 些 用 途 ？,请问准金属有哪些用途？,请问准金属有哪些用途？,0.6110998392105103
"[['逃出生天（《战争前线》PVE地图）', '游戏画面', '3D']]",逃 出 生 天 的 游 戏 画 面 怎 么 样 ？,你知道逃出生天这款游戏的画面是怎样的吗？,请问逃出生天的游戏画面是3D的吗？,0.633513867855072
"[['炒烤肉', '主要食材', '羔羊羊腿肉400g，辣椒面，孜然，盐，油适量']]",制 作 炒 烤 肉 的 主 要 食 材 是 什 么 ？,炒烤肉的主要食材都有什么呀？,请问制作炒烤肉的主要食材有哪些？,0.6274267435073853
"[['沟口秀胜', '补充', '本能寺之变后又跟随了旧主长秀']]",沟 口 秀 胜 的 具 体 描 述 是 什 么 ？,沟口秀胜的补充是什么？,沟口秀胜在本能寺之变后跟随了旧主长秀，你能详细描述一下他的具体行为或事件吗？,0.6248353719711304
"[['刘莹（河北大学新闻传播学院讲师）', '研究领域', '新闻史、新媒体']]",刘 莹 的 研 究 领 域 是 什 么 ？,刘莹的主要研究领域是哪里？,刘莹在河北大学新闻传播学院担任讲师，她的主要研究领域包括新闻史和新媒体。请问刘莹的研究领域具体是什么？,0.6025576591491699
"[['胡冠珍', '原名', '胡兢英']]",你 知 道 胡 冠 珍 原 来 叫 什 么 吗 ？,你了解胡冠珍原名是什么么？,胡冠珍的原名是什么？,0.6256017088890076
"[['破伤风梭菌', '病因', '粪便污染土壤，经伤口感染']]",破 伤 风 梭 菌 的 病 因 是 什 么 ？,你知道破伤风梭菌是因为什么吗？,破伤风梭菌的病因是什么？,0.6391792297363281
"[['盾牌座UY', '半径', '1708±192 R☉（有争议）']]",你 知 道 盾 牌 座 UY 的 半 径 是 多 少 吗 ？,盾牌座UY你知道他的半径吗？,请问盾牌座UY的半径是多少？,0.6452326774597168
"[['放弃也是一种爱（谢珊演唱歌曲）', '日期', '2009-10-21']]",你 记 得 放 弃 也 是 一 种 爱 的 日 期 吗 ？,放弃也是一种爱的发行日期是什么时候?,请问歌曲《放弃也是一种爱》是哪一天发行的？,0.642922043800354
"[['自我价值', '基础', '对社会的贡献']]",自 我 价 值 的 基 础 是 什 么 ？,自我价值是什么疗法啊？,请问自我价值的基础是什么？,0.6237908601760864
"[['设计成本控制', '阐述', '生产而事先测算的产品成本']]",如 何 阐 述 设 计 成 本 控 制 ？,请问设计成本控制是什么意思？,请问如何阐述设计成本控制的生产而事先测算的产品成本？,0.6632949709892273
"[['北京京铁大酒店', '建成时间', '1999年']]",北 京 京 铁 大 酒 店 是 什 么 时 候 建 成 的 ？,北京京铁大酒店是哪年建成的？,请问北京京铁大酒店是哪一年建成的？,0.7096150517463684
"[['InStyle优家画报', '创办者', 'Time Inc和现代传播集团']]",请 问 InSTyle 优 家 画 报 的 创 办 者 是 谁 ？,我想了解一下InStyle优家画报是由谁创办的？,请问 InStyle 优家画报的创办者是谁？,0.6288272142410278
"[['康奈尔大学法学院', '学生', '660']]",康 奈 尔 大 学 法 学 院 有 多 少 学 生 ？,康奈尔大学法学院有多少学生？,康奈尔大学法学院有多少学生？,0.7300392389297485
"[['卡贝莱', '出生年月', '1987年2月17日']]",卡 贝 莱 是 什 么 时 候 出 生 的 ？,有人知道卡贝莱是哪年哪月出生的吗？,请问卡贝莱是哪一天出生的？,0.6073685884475708
"[['香港廉政公署', '总部地址', '香港特别行政区北角']]",香 港 廉 政 公 署 的 总 部 在 什 么 地 方 ？,请问香港廉政公署的总部地址在哪里？,请问香港廉政公署的总部地址在哪里？,0.7185640931129456
"[['认真和我谈恋爱！！（2009年みなとそふと开发的恋爱冒险电脑游戏）', '游戏平台', 'PC(Windows2000/XP/Vista)']]",认 真 和 我 谈 恋 爱 ！ ！ 的 游 戏 平 台 是 什 么 ？,认真和我谈恋爱的游戏平台是什么呀?,认真和我谈恋爱！！这款游戏是运行在哪个平台上的？,0.638334333896637
"[['冀馆春夕见月', '作者', '宋朝'], ['宋朝', '主要城市', '西京河南府,北京大名府,南京应天府\xa0,临安,西京（今洛阳）,北京（今大名）,建康,南京（今商丘）']]",冀 馆 春 夕 见 月 的 作 者 有 哪 些 主 要 的 城 市 ？,冀馆春夕见月的作者主要都有哪些城市？,冀馆春夕见月的作者主要来自哪些城市？,0.5759889483451843
"[['上海弋泰国际贸易有限公司', '公司简称', '弋泰国际']]",你 知 道 上 海 弋 泰 国 际 贸 易 有 限 公 司 的 简 称 吗 ？,大家知道上海弋泰国际贸易有限公司的简称是什么吗？,请问上海弋泰国际贸易有限公司的简称是什么？,0.7425021529197693
"[['人本主义学习理论', '兴起时间', '20世纪五六十年代']]",人 本 主 义 学 习 理 论 是 什 么 时 候 兴 起 的 ？,什么时候人本主义学习理论兴起的？,请问人本主义学习理论是在什么时候兴起的？,0.689177393913269
"[['三大骑士团', '分支', '条顿骑士团'], ['条顿骑士团', '指挥官', 'Hochmeister Bruno Platter']]",谁 指 挥 了 三 大 骑 士 团 的 分 支 ？,谁指挥了三大骑士团的分支？,请问三大骑士团的分支是由谁指挥的？,0.6876201629638672
"[['僰', '部首', '人']]",谁 知 道 僰 的 部 首 是 什 么 ？,告诉我僰这个字的偏旁部首是什么？,请问僰字的部首是什么？,0.5623192191123962
"[['阿司匹林缓释片', '剂型', '片剂']]",你 知 道 阿 司 匹 林 缓 释 片 是 什 么 剂 型 吗 ？,阿司匹林缓释片属于哪种剂型？,请问阿司匹林缓释片的剂型是什么？,0.7365593910217285
"[['禹州市文殊高级中学', '现任校长', '宋文才']]",你 知 道 禹 州 市 文 殊 高 级 中 学 的 现 任 校 长 是 谁 吗 ？,禹州市文殊高级中学的现任校长是谁？,请问禹州市文殊高级中学的现任校长是谁？,0.7771860957145691
"[['说谎的女人（2010年江苏文艺出版社出版的图书）', '印张', '6']]",请 问 说 谎 的 女 人 的 印 张 是 多 少 ？,说谎的女人印张一共有几个？,请问《说谎的女人》这本书的印张数是多少？,0.6113448143005371
"[['杨乃乔', '专业', '比较文学与世界文学']]",杨 乃 乔 是 什 么 专 业 的 ？,杨乃乔学习的是什么专业来着？,请问杨乃乔的专业是什么？,0.5653213858604431
"[['东京迷城', '分级', 'B级（CERO）']]",请 问 东 京 迷 城 的 分 级 是 什 么 ？,东京迷城的分级是多少？,东京迷城的分级是什么？,0.6666870713233948
"[['金水新苑', '环线位置', '外环外']]",金 水 新 苑 位 于 哪 个 环 线 位 置 ？,金水新苑的位置在哪？,请问金水新苑位于哪个环线位置？,0.6652173399925232
"[['多孔陶瓷', '原料', '堇青石'], ['堇青石', '硬度', '7～7.5（摩尔硬度）']]",你 知 道 多 孔 陶 瓷 的 原 料 的 硬 度 是 多 少 吗 ？,多孔陶瓷的原料的硬度是多少？,请问多孔陶瓷的原料硬度是多少？,0.6467042565345764
"[['开水炉', '又称', '茶水炉'], ['茶水炉', '构造', '炉膛']]",你 知 道 开 水 炉 的 又 称 的 主 要 构 成 吗 ？,你知道开水炉的又称的主要构成吗？,请问开水炉的主要构造是什么？,0.6264099478721619
