输入文本,生成问题,参考问题,改写问题,F1
"[['阳阳', '原型', '羊'], ['羊', '亚纲', '真兽亚纲']]",山 阳 阳 的 原 型 是 属 于 哪 个 亚 纲 的,山阳阳的原型是属于哪个亚纲的,请问山阳阳的原型属于哪个亚纲？,0.6064541339874268
"[['南唐', '主要城市', '光州'], ['光州', '市花', '潢川金桂']]",南 唐 的 主 要 城 市 的 市 花 是 什 么 ？,请问南唐的主要城市的市花是什么啊？,南唐的主要城市光州的市花是什么？,0.6043247580528259
"[['高个子姑娘小胡安娜', '作者', '西班牙'], ['西班牙', '国庆日', '10月12日'], ['10月12日', '后一天', '10月13日']]",谁 知 道 高 个 子 姑 娘 小 胡 安 娜 的 作 者 的 国 庆 日 的 后 一 天 是 哪 一 天 ？,谁知道高个子姑娘小胡安娜的作者的国庆日的后一天是什么时候？,请问高个子姑娘小胡安娜的作者所在的国家是哪一天国庆，以及这个国庆日的第二天是哪一天？,0.6430497765541077
"[['青红皂白', '所属专辑', '忘忧草'], ['忘忧草', '专辑语言', '国语']]",青 红 皂 白 的 所 属 专 辑 的 语 言 是 什 么 ？,青红皂白的所属专辑的语言是什么？,请问青红皂白所属专辑的语言是什么？,0.6608126163482666
"[['家春秋：民国蒋宋孔家族往事(5DVD)', '作者', '凤凰大视野'], ['凤凰大视野', '图像制式', '576i4:3(16:9)SDTV1080i16:9HDTV']]",家 春 秋 ： 民 国 蒋 宋 孔 家 族 往 事 ( 5DVD ) 的 作 者 的 图 像 制 式 是 怎 样 的 ？,家春秋：民国蒋宋孔家族往事(5DVD)的作者的图像制式是怎样的？,请问家春秋：民国蒋宋孔家族往事(5DVD)的作者是凤凰大视野，那么凤凰大视野的图像制式是怎样的呢？,0.715349555015564
"[['初见秦', '派别', '法家'], ['法家', '历史时期', '战国至今']]",初 见 秦 的 派 别 的 历 史 是 什 么 ？,初见秦的派别的历史是什么？,请问初见秦的派别是哪个历史时期的流派？,0.6109212636947632
"[['许珀里翁', '兄弟姐妹', '克洛诺斯'], ['克洛诺斯', '子女', '哈迪斯'], ['哈迪斯', '居所', '冥府']]",请 问 许 珀 里 翁 的 兄 弟 姐 妹 的 子 女 住 在 哪 里 ？,请问许珀里翁的兄弟姐妹的子女住在哪里？,许珀里翁的兄弟姐妹哈迪斯住在冥府。,0.6277066469192505
"[['威尔·拜纳姆', '所属运动队', '广东宏远华南虎俱乐部'], ['广东宏远华南虎俱乐部', '外文队名', 'Guangdong Tigers basketball club']]",威 尔 · 拜 纳 姆 的 所 属 运 动 队 外 文 队 名 是 什 么 ？,威尔·拜纳姆的所属运动队外文队名是什么？,请问威尔·拜纳姆的所属运动队的外文队名是什么？,0.6760069131851196
"[['辉长岩', '成分', '橄榄石'], ['橄榄石', '晶系', '斜方晶系']]",请 问 辉 长 岩 的 成 分 属 于 什 么 晶 系 ？,请问辉长岩的成分属于什么晶系？,辉长岩的成分属于什么晶系？,0.6422490477561951
"[['利率和汇率政策协调与维护国家经济安全', '作者', '蔡浩仪'], ['蔡浩仪', '职业', '中国银行'], ['中国银行', '公司名称', '中国银行']]",谁 知 道 利 率 和 汇 率 政 策 协 调 与 维 护 国 家 经 济 安 全 的 作 者 的 职 业 100 周 年 纪 念 钞 是 由 哪 个 单 位 发 行 的 ？,谁知道利率和汇率政策协调与维护国家经济安全的作者的职业100周年纪念钞是由哪个单位发行的？,中国银行发行了哪张纪念钞，以庆祝蔡浩仪关于利率和汇率政策协调与维护国家经济安全的著作的100周年？,0.6581975817680359
