模型名字,平均 BLEU 分数,平均 METEOR 分数,平均 ROUGE-L 分数
Randeng_NLPCC_02_02_22_34,0.5574732907688191,0.7104560302320369,0.7687984004966217
,输入文本,生成问题,参考问题,BLEU,METEOR,ROUGE-L
,"generate question: [['上海艺术家', '编辑单位', '上海市文化广播影视管理局'], ['上海市文化广播影视管理局', '公司名称', '上海市文化广播影视管理局']]",请问上海艺术家的编辑单位的公司名称是什么?,上海艺术家的编辑单位的名称叫什么？,0.49616830003403634,0.8466372282608694,0.7858293075684382
,"generate question: [['马阿马·洛洛赫阿', '国籍', '汤加'], ['汤加', '官方语言', '英语']]",马阿马洛洛赫阿的国籍的官方语言是什么?,马阿马·洛洛赫阿的国籍的官方语言是什么？,1.0,0.9996243425995492,1.0
,"generate question: [['EDTA铁钠', '别称', '乙二胺四乙酸铁钠'], ['乙二胺四乙酸铁钠', '分子量', '421.10']]",EDTA铁钠的别称的分子量是多少?,谁能告诉我EDTA铁钠的别称的分子量是多少？,0.6065306597126334,0.6889816810344827,0.8299319727891156
,"generate question: [['丹参红花炖乌鸡', '辅料', '川贝母'], ['川贝母', '族', '百合族']]",丹参红花炖乌鸡的辅料属于什么族?,丹参红花炖乌鸡的辅料属于什么族？,1.0,0.9993141289437586,1.0
,"generate question: [['无限挑战', '主持人', '刘在石'], ['刘在石', '宗教信仰', '佛教(参考Naver人物和维基百科)']]",无限挑战的主持人信仰什么宗教?,无限挑战的主持人信奉什么宗教？,0.488923022434901,0.8412698412698414,0.8571428571428571
,"generate question: [['假蒟叶', '亚目', '胡椒科'], ['胡椒科', '亚种', '共3100种']]",假蒟叶的亚目有多少亚种?,假蒟叶的亚目有多少亚种？,1.0,0.9990234375,1.0
,"generate question: [['阿贝尔', '兄弟姐妹', '阿尔忒弥斯'], ['阿尔忒弥斯', '司掌', '净化']]",阿贝尔的兄弟姐妹的司掌是什么?,请问阿贝尔的兄弟姐妹主要掌管什么？,5.395774370246974e-78,0.2857142857142857,0.5714285714285714
,"generate question: [['华安润成变形缝装置厂', '主营', '伸缩缝'], ['伸缩缝', '适用于', '楼顶,建筑物上方。']]",华安润成变形缝装置厂的主营适用于哪里?,你知道华安润成变形缝装置厂的主营适用于哪里吗？,0.7408182206817179,0.7870078740157481,0.8905109489051095
,"generate question: [['程蝶衣', '代表作品', '霸王别姬'], ['霸王别姬', '对白语言', '京剧'], ['京剧', '发源地', '徽州府']]",程蝶衣的代表作品的对白语言起源于哪里?,你知道程蝶衣的代表作品的对白语言的发源地是哪里吗？,0.3784869858133765,0.3836734693877551,0.696574225122349
,"generate question: [['高艳', '毕业院校', '安徽财经大学'], ['安徽财经大学', '发展目标', '高水平教学研究型大学']]",高艳的毕业院校的发展目标是什么?,请问高艳的毕业院校的发展目标是什么？,0.8948393168143697,0.9084673899488716,0.9564459930313588
,"generate question: [['纵马五代', '小说作者', '昭武校尉'], ['昭武校尉', '废除时间', '元']]",纵马五代的小说作者是什么时候废除的?,纵马五代的小说作者是什么时候废除的？,1.0,0.9995,1.0
,"generate question: [['我要玩陌陌', '谱曲', '李萌'], ['李萌', '喜欢的歌手', 'DRE']]",我要玩陌陌的谱曲喜欢哪个歌手?,我要玩陌陌的谱曲最喜欢哪个歌手？,0.6101950432112578,0.8918539325842695,0.9512670565302144
,"generate question: [['何保冬', '民族', '广东'], ['广东', '著名景点', '白云山'], ['白云山', '气候类型', '亚热带季风气候']]",何保冬的民族的著名景点的气候类型是什么?,何保冬的民族的著名景点地区是什么型的气候？,0.45561621331146857,0.8103975535168196,0.6724409448818898
,"generate question: [['柔步双狮拳', '使用者', '日向雏田'], ['日向雏田', '妹妹', '日向花火'], ['日向花火', '归属', '火之国·木叶忍者村']]",柔步双狮拳的使用者的妹妹属于什么国家?,请问柔步双狮拳的使用者的妹妹属于哪个地方啊？,0.6221008431290531,0.6773040254237288,0.7393939393939394
,"generate question: [['PSYCHO-PASS 心理测量者 2', '中文名', '心理测量者'], ['心理测量者', '代理发行', '富士创意公司（海外）群英社（中国台湾,中国香港）Funimation（加拿大,美国）']]",PSYCHO-PASS 心理测量者 2的中文名是由谁代理发行的?,谁是PSYCHO-PASS 心理测量者 2的中文名的代理发行商？,0.6042750794713536,0.8957572705526878,0.7233201581027668
,"generate question: [['波斯尼亚语', '地区', '波斯尼亚和黑塞哥维那'], ['波斯尼亚和黑塞哥维那', '政治体制', '直接民主共和制']]",波斯尼亚语的地区实行什么政治体制?,请问波斯尼亚语的地区的政治体制是什么样的？,0.28319415510892393,0.3835051546391753,0.6075697211155379
,"generate question: [['硝烟再起', '作者', '橄榄石'], ['橄榄石', '比重', '3.34（+0.14,-0.07）']]",硝烟再起的作者的比重是多少?,你知道硝烟再起的作者的比重是多少吗？,0.6872892787909722,0.7469334112149533,0.866785079928952
,"generate question: [['吴废后', '别称', '吴皇后'], ['吴皇后', '坟墓', '永思陵']]",请问吴废后的别称的坟墓在哪里?,哪里是吴废后的别称的坟墓？,0.5410822690539396,0.8294209702660407,0.6587473002159828
,"generate question: [['密花红光树', '属', '红光树属'], ['红光树属', '属拼音名', 'hongguangshushu']]",密花红光树的属的拼音名是什么?,密花红光树的属用拼音怎么说？,0.4671379777282001,0.5679012345679012,0.6666666666666666
,"generate question: [['张春阳', '代表作品', '包头医学院学报'], ['包头医学院学报', '主办单位', '包头医学院'], ['包头医学院', '教职工', '2544名']]",张春阳的代表作品的主办单位有多少教职工?,你知道张春阳的代表作品的主办单位有多少教职工吗？,0.7165313105737893,0.7687031761105836,0.8798076923076923
,"generate question: [['竹中重治', '主君', '丰臣秀吉'], ['丰臣秀吉', '坟墓', '丰国神社']]",竹中重治的主君的坟墓在哪里?,竹中重治的主君的坟墓在哪里？,1.0,0.9990234375,1.0
,"generate question: [['石榴根', '别称', '天浆'], ['天浆', '词义', '浆汁']]",石榴根的别称的词义是什么?,石榴根的别称的词义是？,0.8408964152537145,0.9844782983615982,0.9222462203023757
,"generate question: [['十六年', '所属专辑', '神雕侠侣'], ['神雕侠侣', '集数', '湖南卫视版54集/未删减版52集']]",十六年的所属专辑有多少集?,新版十六年的所属专辑一共有多少集,0.4468310718440575,0.7861781076066792,0.8951781970649895
,"generate question: [['左岩', '代表作品', '中华好诗词'], ['中华好诗词', '主持人', '王凯'], ['王凯', '外文名', 'Wang Kai']]",左岩的代表作品的主持人的外文名是什么?,你知道左岩的代表作品的主持人的外文名字是什么吗？,0.4812852941124321,0.6299603174603176,0.7519260400616331
,"generate question: [['坡头乡', '政府驻地', '坡头'], ['坡头', '土地总面积', '89平方公里']]",坡头乡的政府驻地的面积是多少?,坡头乡的政府驻地的面积共有多少？,0.7506238537503395,0.8819444444444444,0.8888888888888888
,"generate question: [['渡川之战', '主要指挥官', '一条兼定'], ['一条兼定', '相关事件', '四万十川连斩数十人']]",渡川之战的主要指挥官有什么相关事件?,谁知道渡川之战的主要指挥官做了什么？,0.4180134288483488,0.5948372615039282,0.6376306620209059
,"generate question: [['赵启平', '配音', '王凯'], ['王凯', '爱好', '唱歌,主持,睡觉,shopping']]",赵启平的配音喜欢做什么事?,谁能告诉我赵启平的配音有什么爱好？,3.515018170403913e-78,0.38659793814432986,0.48605577689243035
