五元组信息,问题,生成的语句,查询结果
"{'start': '煤层气地面开采项目', 'type': '应当', 'labels(a)': ['安全管理'], 'labels(b)': ['法律法规']}",煤层气地面开采项目应当遵守什么安全管理规定?,"MATCH (project:煤层气地面开采项目)-[:应当]->(safety:安全管理) RETURN project.name AS project_name, safety.name AS safety_name",[]
"{'start': '安全设施', 'type': '属于', 'labels(a)': ['设备与工具'], 'labels(b)': ['活动与作业']}",安全设施属于什么设备与工具?,"MATCH (facility:设备与工具 {name: '安全设施'})-[:属于]->(device:活动与作业) RETURN facility.name AS facility_name, device.name AS device_name","[{'facility_name': '安全设施', 'device_name': '煤层气开采项目'}]"
"{'start': '安全设施', 'type': '必须', 'labels(a)': ['设备与工具'], 'labels(b)': ['活动与作业']}",安全设施必须用于什么活动与作业?,"MATCH (facility:设备与工具 {name: '安全设施'})-[:必须]->(activity:活动与作业) RETURN facility.name AS facility_name, activity.name AS activity_name","[{'facility_name': '安全设施', 'activity_name': '与主体工程同时设计、同时施工、同时投入生产和使用'}]"
"{'start': '安全设施投资', 'type': '应当', 'labels(a)': ['活动与作业'], 'labels(b)': ['活动与作业']}",安全设施投资应当参与什么活动与作业?,"MATCH (investment:活动与作业 {name: '安全设施投资'})-[:应当]->(activity:活动与作业) RETURN investment.name AS investment_name, activity.name AS activity_name","[{'investment_name': '安全设施投资', 'activity_name': '纳入建设项目概算'}]"
"{'start': '煤层气井钻井、压裂、排采、修井等施工方案', 'type': '由', 'labels(a)': ['安全管理'], 'labels(b)': ['组织与人员']}",煤层气井钻井、压裂、排采、修井等施工方案由哪些安全管理组织与人员负责?,"MATCH (safety:安全管理)-[:由]->(person:组织与人员 {name: '煤层气井钻井、压裂、排采、修井等施工方案'}) RETURN safety.name AS safety_name, person.name AS person_name",[]
"{'start': '煤层气地面开采项目的总体开发方案和煤层气集输管线、站场、供电等工程设计', 'type': '应当', 'labels(a)': ['安全管理'], 'labels(b)': ['组织与人员']}",Error generating question,Error generating Cypher,False
"{'start': '煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['安全管理']}",煤层气企业应当参与什么安全管理?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:应当]->(safety:安全管理) RETURN enterprise.name AS enterprise_name, safety.name AS safety_name","[{'enterprise_name': '煤层气企业', 'safety_name': '编制作业方案，制定安全技术措施'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立健全施工方案的审查制度，严格安全条件的审查'}, {'enterprise_name': '煤层气企业', 'safety_name': '经常开展安全生产检查及事故隐患排查'}, {'enterprise_name': '煤层气企业', 'safety_name': '对发现的安全生产问题和事故隐患，应当立即采取措施进行整改'}, {'enterprise_name': '煤层气企业', 'safety_name': '对安全阀、压力表、传感器和监测设备进行定期校验、检定'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立相应的消防机构'}, {'enterprise_name': '煤层气企业', 'safety_name': '配备专职或者兼职消防人员和必要的装备、器材'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立劳动防护用品配备、使用和管理制度'}, {'enterprise_name': '煤层气企业', 'safety_name': '为从业人员提供符合国家标准或者行业标准的劳动防护用品'}, {'enterprise_name': '煤层气企业', 'safety_name': '对从业人员进行劳动防护用品使用的培训'}, {'enterprise_name': '煤层气企业', 'safety_name': '指导、教育从业人员正确佩戴和使用劳动防护用品'}, {'enterprise_name': '煤层气企业', 'safety_name': '编制专门的安全技术措施'}, {'enterprise_name': '煤层气企业', 'safety_name': '对所有生产作业人员和现场监督人员进行硫化氢防护的培训'}, {'enterprise_name': '煤层气企业', 'safety_name': '硫化氢防护知识的教育'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立测井安全操作管理和事故处理措施'}, {'enterprise_name': '煤层气企业', 'safety_name': '对放射源等危险物品的储存、运输、使用和防护作出特别规定'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立爆炸物品运输和使用、爆炸器材存储和销毁、废旧爆炸物品安全销毁的管理制度'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立防止地面爆炸、施工深度错误、炸枪（卡枪）及炸坏套管的安全防范和处理措施'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立砂堵、砂卡、设备损坏等事故的应急处理措施'}, {'enterprise_name': '煤层气企业', 'safety_name': '设置相应的安全警示标志'}, {'enterprise_name': '煤层气企业', 'safety_name': '提出作业安全要求'}]"
"{'start': '施工方案', 'type': '未经', 'labels(a)': ['活动与作业'], 'labels(b)': ['活动与作业']}",施工方案未经什么活动与作业?,"MATCH (scheme:活动与作业 {name: '施工方案'})-[:未经]->(activity:活动与作业) RETURN scheme.name AS scheme_name, activity.name AS activity_name","[{'scheme_name': '施工方案', 'activity_name': '煤层气企业主要负责人审查同意的，施工单位不得施工'}]"
"{'start': '煤层气地面开采项目的工程施工', 'type': '应当', 'labels(a)': ['安全管理'], 'labels(b)': ['法律法规']}",煤层气地面开采项目的工程施工应当遵守什么安全管理?,"MATCH (project:煤层气地面开采项目的工程施工)-[:应当]->(safety:安全管理) RETURN project.name AS project_name, safety.name AS safety_name",[]
"{'start': '监理单位', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['法律法规']}",监理单位应当遵守什么法律法规?,"MATCH (unit:组织与人员 {name: '监理单位'})-[:应当]->(rule:法律法规) RETURN unit.name AS unit_name, rule.name AS rule_name","[{'unit_name': '监理单位', 'rule_name': '按照国家建设工程监理规范的要求对工程施工质量进行监督。'}]"
