模型名字,平均 BLEU 分数,平均 METEOR 分数,平均 ROUGE-L 分数
bart_NLPCC_02_03_14_54,0.7418112867305381,0.8291635631845032,0.8652369592481604
,输入文本,生成问题,参考问题,BLEU,METEOR,ROUGE-L
,"generate question: [['上海艺术家', '编辑单位', '上海市文化广播影视管理局'], ['上海市文化广播影视管理局', '公司名称', '上海市文化广播影视管理局']]",上 海 艺 术 家 的 编 辑 单 位 的 官 方 外 网 首 页 叫 什 么 ？,上海艺术家的编辑单位的名称叫什么？,0.46924700641055994,0.853494623655914,0.7427701674277016
,"generate question: [['马阿马·洛洛赫阿', '国籍', '汤加'], ['汤加', '官方语言', '英语']]",马 阿 马 · 洛 洛 赫 阿 的 国 籍 的 官 方 语 言 是 什 么 ？,马阿马·洛洛赫阿的国籍的官方语言是什么？,1.0,0.9996243425995492,1.0
,"generate question: [['EDTA铁钠', '别称', '乙二胺四乙酸铁钠'], ['乙二胺四乙酸铁钠', '分子量', '421.10']]",EDTA 铁 钠 的 别 称 的 分 子 量 是 多 少 ？,谁能告诉我EDTA铁钠的别称的分子量是多少？,0.6065306597126334,0.6889816810344827,0.8299319727891156
,"generate question: [['丹参红花炖乌鸡', '辅料', '川贝母'], ['川贝母', '族', '百合族']]",丹 参 红 花 炖 乌 鸡 的 辅 料 属 于 什 么 族 ？,丹参红花炖乌鸡的辅料属于什么族？,1.0,0.9993141289437586,1.0
,"generate question: [['无限挑战', '主持人', '刘在石'], ['刘在石', '宗教信仰', '佛教(参考Naver人物和维基百科)']]",无 限 挑 战 的 主 持 人 信 仰 什 么 宗 教 ？,无限挑战的主持人信奉什么宗教？,0.488923022434901,0.8412698412698414,0.8571428571428571
,"generate question: [['假蒟叶', '亚目', '胡椒科'], ['胡椒科', '亚种', '共3100种']]",假 蒟 叶 的 亚 目 有 多 少 亚 种 ？,假蒟叶的亚目有多少亚种？,1.0,0.9990234375,1.0
,"generate question: [['阿贝尔', '兄弟姐妹', '阿尔忒弥斯'], ['阿尔忒弥斯', '司掌', '净化']]",请 问 阿 贝 尔 的 兄 弟 姐 妹 主 要 掌 管 什 么 ？,请问阿贝尔的兄弟姐妹主要掌管什么？,1.0,0.9985422740524781,1.0
,"generate question: [['华安润成变形缝装置厂', '主营', '伸缩缝'], ['伸缩缝', '适用于', '楼顶,建筑物上方。']]",华 安 润 成 变 形 缝 装 置 厂 的 主 营 适 用 于 哪 里 ？,你知道华安润成变形缝装置厂的主营适用于哪里吗？,0.7408182206817179,0.7870078740157481,0.8905109489051095
,"generate question: [['程蝶衣', '代表作品', '霸王别姬'], ['霸王别姬', '对白语言', '京剧'], ['京剧', '发源地', '徽州府']]",程 蝶 衣 的 代 表 作 品 的 对 白 语 言 的 发 源 地 是 哪 里 ？,你知道程蝶衣的代表作品的对白语言的发源地是哪里吗？,0.7408182206817179,0.7870078740157481,0.8905109489051095
,"generate question: [['高艳', '毕业院校', '安徽财经大学'], ['安徽财经大学', '发展目标', '高水平教学研究型大学']]",高 艳 的 毕 业 院 校 的 发 展 目 标 是 什 么 ？,请问高艳的毕业院校的发展目标是什么？,0.8948393168143697,0.9084673899488716,0.9564459930313588
