输入文本,生成问题,改写问题
"[['煤层气地面开采项目', '应当', '按照有关规定进行安全条件论证和安全预评价']]",煤 层 气 地 面 开 采 项 目 应 当 如 何 ？,煤层气地面开采项目应当如何按照安全条件论证和安全预评价的有关规定进行？
"[['安全设施', '属于', '煤层气开采项目']]",安 全 设 施 属 于 哪 里 ？,请问安全设施属于哪个煤层气开采项目？
"[['安全设施', '必须', '与主体工程同时设计、同时施工、同时投入生产和使用']]",安 全 设 施 必 须 与 什 么 工 程 同 步 进 行 ？,安全设施必须与什么工程同时进行？
"[['安全设施投资', '应当', '纳入建设项目概算']]",安 全 设 施 投 资 应 当 怎 么 做 ？,安全设施投资应当如何纳入建设项目概算？
"[['煤层气井钻井、压裂、排采、修井等施工方案', '由', '煤层气企业负责']]",煤 层 气 井 钻 井 、 压 裂 、 排 采 、 修 井 等 施 工 方 案 由 谁 负 责 ？,煤层气井的钻井、压裂、排采、修井等施工方案是由哪些煤层气企业负责的？
"[['煤层气地面开采项目的总体开发方案和煤层气集输管线、站场、供电等工程设计', '应当', '由具有相应资质的单位承担']]",我 想 知 道 煤 层 气 地 面 开 采 项 目 的 总 体 开 发 方 案 是 由 谁 负 责 的 ？,煤层气地面开采项目的总体开发方案由谁负责？
"[['煤层气企业', '应当', '建立健全施工方案的审查制度，严格安全条件的审查']]",请 问 煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当如何建立健全施工方案的审查制度，并严格审查安全条件？
"[['施工方案', '未经', '煤层气企业主要负责人审查同意的，施工单位不得施工']]",你 知 道 施 工 方 案 是 什 么 时 候 吗 ？,请问施工方案在什么情况下需要煤层气企业主要负责人的审查同意？
"[['煤层气地面开采项目的工程施工', '应当', '由具有相应资质的监理单位进行监督']]",请 问 煤 层 气 地 面 开 采 项 目 的 工 程 施 工 应 当 由 哪 个 单 位 负 责 ？,煤层气地面开采项目的工程施工应当由哪个单位负责监督？
"[['监理单位', '应当', '按照国家建设工程监理规范的要求对工程施工质量进行监督。']]",监 理 单 位 应 当 怎 么 做 ？,监理单位在施工过程中应当如何按照国家建设工程监理规范的要求对工程质量进行监督？
"[['煤层气企业', '对', '承包单位的安全生产工作统一协调、管理。']]",请 问 煤 层 气 企 业 对 象 是 什 么 ？,请问煤层气企业对承包单位的安全生产工作统一协调、管理的对象是什么？
"[['煤层气企业', '进行', '工程发包']]",请 问 煤 层 气 企 业 进 行 了 哪 些 工 作 ？,请问煤层气企业进行了哪些工程发包工作？
"[['煤层气企业', '应当', '对承包单位的资质条件和安全生产业绩进行审查']]",请 问 煤 层 气 企 业 应 当 怎 么 做 ？,请问煤层气企业在进行承包单位选择时，应当对承包单位的哪些方面进行审查？
"[['煤层气企业', '应当', '与承包单位签订专门的安全生产管理协议']]",煤 层 气 企 业 应 当 如 何 管 理 ？,煤层气企业应该如何与承包单位签订专门的安全生产管理协议？
"[['煤层气企业', '应当', '在承包合同中约定各自的安全生产管理职责']]",煤 层 气 企 业 应 当 如 何 承 包 ？,请问煤层气企业在承包合同中应当如何约定各自的安全生产管理职责？
"[['煤层气企业', '应当', '经常开展安全生产检查及事故隐患排查']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,请问煤层气企业应当经常进行哪些安全检查和事故隐患排查？
"[['煤层气企业', '应当', '对发现的安全生产问题和事故隐患，应当立即采取措施进行整改']]",煤 层 气 企 业 应 当 如 何 ？,煤层气企业发现安全生产问题和事故隐患时，应该如何立即采取措施进行整改？
"[['不能立即整改的', '应当', '制定整改方案限期处理']]",不 能 立 即 整 改 的 应 当 怎 么 做 ？,对于那些不能立即整改的问题，我们应该如何制定整改方案并设定期限进行处理呢？
"[['煤层气企业', '应当', '对安全阀、压力表、传感器和监测设备进行定期校验、检定']]",煤 层 气 企 业 应 当 如 何 保 养 ？,煤层气企业应该如何维护保养安全阀、压力表、传感器和监测设备？
"[['煤层气企业的特种设备', '应当', '按照有关规定定期检测']]",煤 层 气 企 业 的 特 种 设 备 应 当 如 何 检 测 ？,煤层气企业的特种设备应当如何按照规定定期进行检测？
"[['煤层气企业', '应当', '建立相应的消防机构']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当建立什么样的消防机构？
"[['煤层气企业', '应当', '配备专职或者兼职消防人员和必要的装备、器材']]",煤 层 气 企 业 应 当 配 备 什 么 ？,煤层气企业应当配备哪些消防人员和装备？
"[['煤层气企业', '应当', '与所在地消防、应急救援机构签订消防救援合同']]",煤 层 气 企 业 应 当 如 何 ？,煤层气企业应当与所在地消防、应急救援机构签订消防救援合同，请问具体应当如何执行？
"[['煤层气企业', '应当', '建立劳动防护用品配备、使用和管理制度']]",煤 层 气 企 业 应 当 怎 样 使 用 ？,煤层气企业应当如何建立并有效管理劳动防护用品的配备和使用制度？
"[['煤层气企业', '应当', '为从业人员提供符合国家标准或者行业标准的劳动防护用品']]",煤 层 气 企 业 应 当 做 什 么 ？,煤层气企业应当为从业人员提供哪些劳动防护用品？
"[['煤层气企业', '应当', '对从业人员进行劳动防护用品使用的培训']]",煤 层 气 企 业 应 当 做 什 么 ？,煤层气企业应当对从业人员进行哪些培训？
"[['煤层气企业', '应当', '指导、教育从业人员正确佩戴和使用劳动防护用品']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应该如何指导和教育从业人员正确佩戴和使用劳动防护用品？
"[['煤层气企业', '进行', '电焊、气焊（割）等明火作业或其他可能产生火花的作业']]",煤 层 气 企 业 可 以 进 行 什 么 ？,煤层气企业可以进行哪些作业？
"[['煤层气企业', '应当', '编制专门的安全技术措施']]",煤 层 气 企 业 应 当 做 什 么 ？,煤层气企业应当编制哪些专门的安全技术措施？
"[['编制专门的安全技术措施', '由', '经本企业技术负责人审查批准']]",你 知 道 编 制 专 门 的 安 全 技 术 措 施 是 什 么 吗 ？,请问编制专门的安全技术措施需要经过哪些步骤？
"[['井场、站场内', '严禁', '烟火']]",井 场 、 站 场 内 严 禁 吸 烟 ？,在井场和站场内，为什么严禁烟火？
