输入文本,生成问题,参考问题,改写问题
"[['长江武汉航道局', '管辖', '715.2公里']]",长 江 武 汉 航 道 局 的 管 辖 范 围 是 什 么 ？,你知道长江武汉航道局管多少个地方吗？,你知道长江武汉航道局管多少个地方吗?
"[['东瓯王', '主要事件', '抗秦反秦，助汉击楚。']]",东 瓯 王 主 要 发 生 了 什 么 事 件 ？,东瓯王发生的主要事件是什么？,东瓯王主要做了哪些事情？
"[['山西省铸造新工艺工程技术研究中心', '机构类型', '研究开发机构']]",山 西 省 铸 造 新 工 艺 工 程 技 术 研 究 中 心 属 于 什 么 机 构 ？,山西省铸造新工艺工程技术研究中心是什么的管辖的啊？,山西省铸造新工艺工程技术研究中心是什么类型的机构？
"[['丘堤', '儿媳', '籍虹']]",丘 堤 的 儿 媳 叫 什 么 ？,你知道谁是丘堤的儿媳吗,籍虹是谁的儿媳？
"[['国民军', '参与战争', '直奉战争、北伐战争、中原大战、抗日战争']]",国 民 军 参 与 了 哪 些 战 争 ？,国民军参与过什么战争？,国民军参加过哪些战争？
"[['诺基亚lumia1320', '主屏尺寸', '6英寸']]",诺 基 亚 Lumia1320 的 主 屏 尺 寸 是 多 大 ？,你知道诺基亚lumia1320的主屏尺寸是多少吗？,请问诺基亚Lumia1320的主屏尺寸是多少？
"[['执业兽医资格考试', '考试时间', '10月']]",执 业 兽 医 资 格 考 试 的 时 间 是 什 么 时 候 ？,你什么时候参加的执业兽医资格考试啊？,请问执业兽医资格考试是在什么时候举行的？
"[['2007年度北京流行音乐典礼', '奖项类型', '音乐类奖项']]",2007 年 度 北 京 流 行 音 乐 典 礼 是 什 么 类 型 的 奖 项 ？,你知道2007年度北京流行音乐典礼是哪种类型的奖项吗,2007年度北京流行音乐典礼属于哪一类奖项？
"[['BOT（dota游戏中飞鞋的简称。）', '总价', '2450']]",BOT 的 总 价 是 多 少 ？,BOT的总价要多少钱,BOT 的 总 价 是 多少 ？
"[['泰山极顶', '作家', '杨朔']]",你 知 道 泰 山 极 顶 是 谁 写 的 吗 ？,你知道泰山极顶的作家是谁啊？,请问泰山极顶的作者是谁？
"[['.org', '注册机构', 'VeriSign等']]",. org 是 哪 个 机 构 注 册 的 ？,.org的注册机构是什么,请问 .org 是哪个机构注册的？
"[['法国斗牛犬', '形态特征', '骨骼沉重，背毛平滑']]",法 国 斗 牛 犬 的 形 态 特 征 是 什 么 ？,我想知道法国斗牛犬有什么特点？,请问法国斗牛犬的形态特征是什么？
"[['七朵水仙花', '作家', '金河仁']]",请 问 七 朵 水 仙 花 是 谁 写 的 ？,请问七朵水仙花的作者是谁？,请问七朵水仙花的作者是谁？
"[['皖系军阀', '参与战争', '直皖战争、江浙战争']]",请 问 皖 系 军 阀 参 与 了 哪 些 战 争 ？,你知道皖系军阀参与了什么战争？,请问皖系军阀参加过哪些战争？
"[['信号与系统分析（2012年清华大学出版社出版的图书）', '印刷日期', '2016.01.27']]",信 号 与 系 统 分 析 是 什 么 时 候 印 刷 的 ？,信号与系统分析什么时候印刷的？,请问《信号与系统分析》这本书是哪一天印刷的？
"[['设计成本控制', '阐述', '生产而事先测算的产品成本']]",请 问 设 计 成 本 控 制 是 什 么 意 思 ？,请问设计成本控制是什么意思？,请问设计成本控制具体指的是什么？
"[['广东省预防青少年犯罪研究会', '发起单位', '团省委、省法院、省公安厅等']]",广 东 省 预 防 青 少 年 犯 罪 研 究 会 是 哪 个 单 位 发 起 的 ？,广东省预防青少年犯罪研究会由哪个单位发起？,请问广东省预防青少年犯罪研究会是由哪些单位发起的？
"[['义安公主', '侄女', '千金公主、清都公主等']]",谁 是 义 安 公 主 的 侄 女 ？,义安公主有侄女吗，叫什么啊,你知道义安公主的侄女是谁吗？
"[['你好台湾网', '办公地点', '央广新媒体大厦']]",你 好 台 湾 网 在 哪 里 办 公 ？,请问你好台湾网在哪里办公？,请问你好台湾网在哪里办公？
"[['半屏岛', '管辖', '东屏镇政府']]",半 屏 岛 归 谁 管 辖 ？,谁能告诉我半屏岛都管些什么方面的事情？,请问半屏岛归谁管辖？
"[['分众传媒', '主营业务', '媒体广告业务。']]",请 问 分 众 传 媒 的 主 营 业 务 是 什 么 ？,分众传媒主营一些什么业务？,请问分众传媒主要做什么业务？
"[['2005年度北京流行音乐典礼', '奖项类型', '音乐类奖项']]",你 知 道 2005 年 度 北 京 流 行 音 乐 典 礼 是 什 么 类 型 的 奖 项 吗 ？,2005年度北京流行音乐典礼是什么类型的奖？,请问2005年度北京流行音乐典礼的奖项类型是什么？
"[['七宝（日本漫画《犬夜叉》中的人物）', '伙伴', '戈薇，犬夜叉，珊瑚，弥勒，云母']]",你 知 道 七 宝 的 伙 伴 是 谁 吗 ？,七宝有哪些伙伴,请问七宝的伙伴有哪些？
"[['量子力学（2014年清华大学出版社出版的图书）', '印刷日期', '2014—5-9']]",量 子 力 学 是 什 么 时 候 印 刷 的 ？,量子力学是什么时候印刷的有人知道吗？,请问量子力学这本书是哪一天印刷的？
"[['万贵妃（总票房5.7亿3D武侠巨制《龙门飞甲》中的角色）', '历史原型', '明宪宗最宠爱的一位后妃']]",请 问 万 贵 妃 的 历 史 原 型 是 什 么 ？,万贵妃有什么历史原型吗,请问万贵妃在历史上是哪位皇帝最宠爱的妃子？
"[['4-4-2', '流行时间', '1966年']]",你 知 道 4 - 4 - 2 是 什 么 时 候 流 行 的 吗 ？,4-4-2是什么时候流行的,请问4-4-2是什么时候流行的？
"[['巴西海盆', '东西宽', '2000-2500公里']]",你 知 道 巴 西 海 盆 的 东 西 有 多 宽 吗 ？,请问巴西海盆东西宽多少？,请问巴西海盆的宽度大约是多少？
"[['九女泉', '水深', '2米']]",九 女 泉 的 水 深 是 多 少 ？,请问九女泉的水有多深？,请问九女泉的水深是多少米？
"[['上海公交173路', '日均客运量', '0.6 万人次']]",上 海 公 交 173 路 的 日 均 客 运 量 是 多 少 ？,上海公交173路的日均客运量多少,请问上海公交173路的日均客运量是多少？
"[['不伦瑞克（德国中北部城市）', '著名高校', '布伦瑞克工业大学']]",你 知 道 不 伦 瑞 克 有 哪 些 著 名 高 校 吗 ？,不伦瑞克的著名的大学有哪些,请问不伦瑞克有哪些著名高校？
"[['久敬庄', '建筑类别', '板楼']]",久 敬 庄 属 于 什 么 建 筑 类 别 ？,久敬庄是什么类别的建筑？,久敬庄的建筑类别是什么？
"[['核心元素', '游戏特征', '横版']]",核 心 元 素 的 游 戏 特 征 是 什 么 ？,你知道核心元素的游戏特征是什么类型的游戏吗？,请问核心元素的游戏特征是什么？
"[['不死天皇', '修为', '红尘仙']]",请 问 不 死 天 皇 修 为 是 什 么 ？,告诉我一下不死天皇的修为呗,请问不死天皇的修为达到了什么境界？
"[['丰县', '县委书记', '娄海']]",丰 县 的 县 委 书 记 是 谁 ？,你知道丰县的县委书记是谁吗,你知道丰县的县委书记是谁吗？
"[['火凤凰（港漫《神兵玄奇》《神兵玄奇贰》角色）', '出生年份', '公元368年']]",火 凤 凰 是 哪 年 出 生 的 ？,火凤凰是什么时候出生的？,请问火凤凰这个角色是哪一年出生的？
"[['AIK足球俱乐部', '所属联赛', '瑞典足球超级联赛']]",AIK 足 球 俱 乐 部 属 于 哪 个 联 赛 ？,AIK足球俱乐部是哪个联赛的,请问AIK足球俱乐部属于哪个联赛？
"[['1185年', '主要事件', '大定病卒']]",你 知 道 1185 年 的 主 要 事 件 是 什 么 吗 ？,1185年的主要事件是什么？,1185年发生了什么重大事件？
"[['107', '罗马数字', 'CVII']]",107 的 罗 马 数 字 是 什 么 ？,请告诉我107的罗马数字,请告诉我107的罗马数字是什么？
"[['上官瑞谦', '女友', '小渔']]",请 问 上 官 瑞 谦 的 女 友 是 谁 ？,告诉我上官瑞谦的女友是谁,告诉我上官瑞谦的女友是谁？
"[['阋神星', '逃逸速度', '1.38 km/s(±0.01)']]",阋 神 星 的 逃 逸 速 度 是 多 少 ？,你知道阋神星的逃逸速度是多少吗？,阋神星的逃逸速度是多少？
"[['七里河区', '著名高校', '兰州理工大学']]",七 里 河 区 有 哪 些 著 名 高 校 ？,七里河区有哪些有名的大学,七里河区有哪些著名高校？
"[['乌拉圭国家男子足球队', 'FIFA排名', '第6位（2020年9月17日）']]",你 知 道 乌 拉 圭 国 家 男 子 足 球 队 的 排 名 吗 ？,乌拉圭国家男子足球队的FIFA排名是什么,乌拉圭国家男子足球队在2020年9月17日的FIFA排名是多少？
"[['严韵遥', '养母', '严玉霞']]",请 问 严 韵 遥 的 养 母 是 谁 ？,严韵遥的养母是谁,请问严韵遥的养母是谁？
"[['煮羊肉', '营养价值', '可以增加人体热量抵御寒冷']]",煮 羊 肉 有 哪 些 营 养 价 值 ？,煮羊肉具有什么营养价值？,煮羊肉有哪些营养价值？
"[['王子外出赚钱中', '漫画作者', 'サマミヤアカザ / 岩城广海']]",王 子 外 出 赚 钱 中 的 漫 画 作 者 是 谁 ？,谁是《王子外出赚钱中》的作者？,请问《王子外出赚钱中》的漫画作者是谁？
"[['万年飘香', '执行导演', '靳鑫鹏']]",请 问 万 年 飘 香 的 执 行 导 演 是 谁 ？,谁知道万年飘香的执行导演啊,请问万年飘香的执行导演是谁？
"[['于伟（安徽事茂律师事务所律师）', '执业证号', '安徽事茂律师事务所']]",于 伟 的 执 业 证 号 是 什 么 ？,于伟的执业证号是多少,请问于伟的执业证号是什么？
"[['蕨粉', '营养成分', '维生素C']]",蕨 粉 有 哪 些 营 养 成 分 ？,请问蕨粉有哪些营养成分？,蕨粉含有哪些营养成分？
"[['东君草堂诗选', '作品题材', '春夏秋冬']]",东 君 草 堂 诗 选 的 作 品 题 材 是 什 么 ？,东君草堂诗选的作品题材是什么,东君草堂诗选主要写的是哪几个季节的景物？
"[['三田佳子', '长子', '森宫隆']]",请 问 三 田 佳 子 的 长 子 是 谁 ？,三田佳子的长子是谁,三田佳子的长子是谁？
"[['夺子战争1997', '片头曲', '陈升《风筝》']]",夺 子 战 争 1997 的 片 头 曲 叫 什 么 名 字 ？,你知道夺子战争1997的片头曲是什么啊？,请问夺子战争1997的片头曲是什么歌？
"[['三家村（山西平遥县香乐乡下辖村）', '总耕地面积', '2193亩']]",三 家 村 的 总 耕 地 面 积 是 多 少 ？,你知道三家村的耕地面积多大吗,请问三家村的总面积是多少亩？
"[['上海交通大学苏州人工智能研究院', '统一社会信用代码', '12320500MB0520380R']]",上 海 交 通 大 学 苏 州 人 工 智 能 研 究 院 的 统 一 社 会 信 用 代 码 是 多 少 ？,请问上海交通大学苏州人工智能研究院的统一社会信用代码是什么,请问上海交通大学苏州人工智能研究院的统一社会信用代码是多少？
"[['CP（人物配对CharacterPairing）', '本意', '是指有恋爱关系的同人配对']]",CP 的 本 意 是 什 么 ？,请告诉我CP的本意是什么,请问CP的本意是指什么？
