输入文本,生成问题,参考问题,改写问题,F1
"[['论柏拉图对话', '丛书名', '西方传统·经典与解释']]",论柏拉图对话属于什么系列丛书?,谁知道论柏拉图对话这套丛书叫什么名？,论柏拉图对话属于什么系列丛书?,0.6665410399436951
"[['Project Glass', '售价', '1500美元（开发者版）']]",Project Glass的售价是多少?,请问Project Glass多少钱？,Project Glass的售价是多少?,0.5559748411178589
"[['东风汽车集团有限公司', '公司简称', '二汽，东风']]",东风汽车集团有限公司的简称是什么?,大家知道东风汽车集团有限公司的简称是什么吗？,东风汽车集团有限公司的简称是什么?,0.7129092216491699
"[['一探究竟', '重播时间', '周六15:01']]",一探究竟什么时候重播?,一探究竟的重播时间是什么时候的,一探究竟什么时候重播?,0.662217915058136
"[['觉木隆藏戏', '管理', '则恰列空和贡德林']]",你知道觉木隆藏戏的管理吗?,觉木隆藏戏是谁管辖啊？,你知道觉木隆藏戏的管理吗?,0.6729063391685486
"[['御临河', '流域面积', '约 3800 km²']]",请问御临河有多大?,御临河流经多少面积？,请问御临河有多大?,0.6401758790016174
"[['情非情（2009年江一燕主演都市情感剧）', '开机时间', '2008年10月']]",情非情是什么时候开机的?,情非情的开机时间是什么时候？,情非情是什么时候开机的?,0.6200317740440369
"[['泰坦星', '象征物', '土星'], ['土星', '质量', '95.16(地球为1),5.688×10²⁶kg']]",请问泰坦星的象征物的质量是多少?,泰坦星的象征物的质量是多重？,请问泰坦星的象征物的质量是多少?,0.6378276348114014
"[['安武军', '创建人', '倪嗣冲']]",安武军是谁创立的?,安武军是谁创立的？,安武军是谁创立的?,0.6391688585281372
"[['齐天大圣', '其他名称', '孙悟空'], ['孙悟空', '兵器', '如意金箍棒']]",齐天大圣的其他名称使用的什么兵器?,你知道齐天大圣的其他名称使用的什么兵器吗？,齐天大圣的其他名称使用的什么兵器?,0.6336427330970764
"[['第61届戛纳国际电影节', '节日起源', '1939年6月']]",你知道第61届戛纳国际电影节的节日起源吗?,第61届戛纳国际电影节的节日起源是什么啊？,你知道第61届戛纳国际电影节的节日起源吗?,0.7380874752998352
"[['准金属', '用途', '合金添加剂，半导体材料等']]",准金属有什么用途?,请问准金属有哪些用途？,准金属有什么用途?,0.6110998392105103
