输入文本,生成问题
"[['论柏拉图对话', '丛书名', '西方传统·经典与解释']]",论 柏 拉 图 对 话 属 于 什 么 系 列 丛 书 ？
"[['Project Glass', '售价', '1500美元（开发者版）']]",Project Glass 的 售 价 是 多 少 ？
"[['东风汽车集团有限公司', '公司简称', '二汽，东风']]",东 风 汽 车 集 团 有 限 公 司 的 简 称 是 什 么 啊 ？
"[['一探究竟', '重播时间', '周六15:01']]",请 问 一 探 究 竟 的 重 播 时 间 ？
"[['觉木隆藏戏', '管理', '则恰列空和贡德林']]",请 问 觉 木 隆 藏 戏 由 谁 管 理 ？
"[['御临河', '流域面积', '约 3800 km²']]",你 知 道 御 临 河 的 流 域 面 积 是 多 大 吗 ？
"[['情非情（2009年江一燕主演都市情感剧）', '开机时间', '2008年10月']]",情 非 情 是 什 么 时 候 开 机 的 ？
"[['泰坦星', '象征物', '土星'], ['土星', '质量', '95.16(地球为1),5.688×10²⁶kg']]",你 知 道 泰 坦 星 的 象 征 物 的 质 量 是 多 重 吗 ？
"[['安武军', '创建人', '倪嗣冲']]",安 武 军 是 谁 创 建 的 ？
"[['齐天大圣', '其他名称', '孙悟空'], ['孙悟空', '兵器', '如意金箍棒']]",齐 天 大 圣 的 其 他 名 称 使 用 的 什 么 兵 器?
"[['第61届戛纳国际电影节', '节日起源', '1939年6月']]",你 知 道 第 61 届 戛 纳 国 际 电 影 节 的 起 源 吗 ？
"[['准金属', '用途', '合金添加剂，半导体材料等']]",准 金 属 有 哪 些 用 途 ？
"[['逃出生天（《战争前线》PVE地图）', '游戏画面', '3D']]",逃 出 生 天 的 游 戏 画 面 怎 么 样 ？
"[['炒烤肉', '主要食材', '羔羊羊腿肉400g，辣椒面，孜然，盐，油适量']]",你 知 道 炒 烤 肉 需 要 准 备 什 么 食 材 吗 ？
"[['沟口秀胜', '补充', '本能寺之变后又跟随了旧主长秀']]",你 知 道 沟 口 秀 胜 的 具 体 描 述 吗 ？
"[['刘莹（河北大学新闻传播学院讲师）', '研究领域', '新闻史、新媒体']]",刘 莹 的 研 究 领 域 是 什 么 ？
"[['胡冠珍', '原名', '胡兢英']]",你 知 道 胡 冠 珍 原 来 叫 什 么 吗 ？
"[['破伤风梭菌', '病因', '粪便污染土壤，经伤口感染']]",请 问 破 伤 风 梭 菌 的 病 因 是 什 么 ？
"[['盾牌座UY', '半径', '1708±192 R☉（有争议）']]",你 知 道 盾 牌 座 UY 的 半 径 是 多 少 吗 ？
"[['放弃也是一种爱（谢珊演唱歌曲）', '日期', '2009-10-21']]",你 记 得 放 弃 也 是 一 种 爱 的 日 期 吗 ？
